ox,oy,oz,h1x,h1y,h1z,h2x,h2y,h2z
-7.167,7.087,9.480,-7.588,7.858,9.918,-6.179,7.239,9.341
3.509,-2.455,8.388,3.631,-1.466,8.142,4.335,-2.834,8.783
10.370,12.620,11.403,10.685,13.261,10.709,9.458,13.010,11.502
1.215,1.633,-11.286,0.726,0.882,-10.963,0.647,1.982,-12.031
-10.713,8.349,-3.164,-10.698,7.896,-2.280,-9.805,8.110,-3.453
8.229,11.423,5.587,9.025,11.835,5.982,8.521,11.408,4.683
7.549,6.489,3.078,7.435,5.811,2.376,7.386,7.286,2.552
-0.876,-6.683,9.126,-0.858,-5.953,9.734,-0.387,-7.372,9.627
-4.050,7.274,-5.960,-4.878,6.660,-6.026,-3.408,6.593,-5.895
12.616,-2.827,-5.570,12.267,-2.995,-6.476,11.834,-2.773,-4.978
4.878,0.641,-8.454,5.539,-0.079,-8.617,4.227,0.249,-7.858
-6.613,-6.666,3.826,-7.013,-6.743,4.666,-6.297,-5.715,3.722
-1.986,-9.072,4.956,-2.159,-8.453,4.226,-2.928,-9.306,5.080
4.969,-6.077,1.460,4.787,-7.052,1.409,4.067,-5.743,1.682
-3.898,2.395,1.253,-4.866,2.304,1.455,-3.738,3.326,1.160
7.564,-6.687,7.452,6.661,-6.647,7.182,7.956,-6.034,6.829
-9.372,8.441,-6.660,-8.715,8.256,-5.950,-8.957,9.208,-7.145
3.832,8.974,1.579,3.186,8.867,0.861,4.061,9.906,1.476
7.419,12.195,-10.642,7.667,11.822,-9.801,7.080,11.391,-10.971
11.749,-2.067,6.181,11.062,-1.319,5.978,12.126,-2.237,5.264
5.689,-4.243,10.193,6.147,-3.465,10.595,5.358,-4.685,11.000
-8.555,0.327,-5.163,-9.352,0.115,-5.650,-8.734,1.289,-4.929
7.578,-2.118,13.627,7.710,-1.314,14.174,7.606,-1.696,12.748
-5.623,5.878,3.196,-5.778,6.220,4.077,-6.100,5.057,3.205
-5.130,3.784,11.055,-4.904,4.229,11.870,-4.383,3.120,11.009
-5.779,-3.892,-9.525,-6.676,-4.230,-9.788,-5.226,-4.709,-9.299
-1.124,-1.202,-7.554,-0.547,-0.842,-6.855,-1.845,-0.565,-7.690
6.081,-8.966,-5.040,6.548,-8.071,-5.071,6.776,-9.422,-4.511
-1.041,8.292,5.407,-0.975,8.924,6.142,-1.885,8.508,4.980
-4.430,4.274,13.833,-3.836,4.883,13.351,-3.864,3.812,14.518
-5.306,-1.395,-0.668,-4.807,-0.607,-0.486,-5.980,-0.954,-1.210
10.389,6.554,-11.793,10.760,6.221,-10.977,9.982,7.354,-11.452
-9.784,-6.726,13.184,-10.034,-6.054,12.552,-9.990,-7.553,12.832
-10.346,2.752,-5.594,-11.153,3.088,-6.099,-9.796,3.553,-5.505
9.557,-7.439,-8.445,9.522,-7.836,-9.317,8.982,-8.036,-7.897
2.557,11.069,-0.012,1.709,10.632,-0.169,2.688,11.386,-0.943
-7.106,1.317,-0.752,-7.267,0.598,-1.397,-7.939,1.823,-0.981
8.422,0.432,-11.883,7.888,0.913,-12.518,8.832,1.213,-11.547
-10.606,6.147,9.791,-10.601,7.086,9.791,-10.436,6.047,10.750
-7.234,10.090,-5.174,-6.959,10.569,-6.013,-7.188,10.805,-4.543
9.516,2.251,13.178,9.943,2.431,14.008,9.804,3.088,12.708
1.226,-1.511,-9.086,1.940,-1.212,-8.458,0.393,-1.404,-8.547
5.178,4.788,-3.443,4.725,4.014,-3.809,5.950,4.827,-4.078
-3.451,8.995,-3.987,-3.873,8.450,-4.758,-2.951,8.290,-3.568
-1.893,-3.956,-8.105,-1.086,-4.352,-8.227,-1.545,-3.014,-8.021
-9.723,4.867,-11.094,-8.723,4.800,-11.022,-9.729,5.682,-11.585
4.625,3.267,-5.917,4.161,3.703,-6.612,5.517,3.609,-6.028
-0.950,11.172,3.414,-0.711,11.683,2.665,-1.316,11.814,4.050
-6.737,-0.679,3.538,-6.802,-1.622,3.247,-6.011,-0.795,4.178
1.406,-6.309,7.064,0.795,-6.450,7.788,2.176,-6.390,7.605
6.552,-7.241,10.277,6.704,-6.418,9.763,6.391,-7.875,9.520
-9.757,8.666,4.833,-9.492,7.888,4.325,-9.151,8.573,5.550
-0.948,-2.505,5.949,-1.427,-3.180,5.401,-0.051,-2.910,6.108
1.167,0.549,-3.816,0.549,-0.059,-4.271,1.644,0.045,-3.097
-2.369,-5.021,4.635,-2.163,-5.785,5.245,-3.334,-5.195,4.549
-10.056,-1.584,-3.197,-10.231,-2.021,-4.036,-10.055,-0.706,-3.569
9.591,-8.058,9.278,9.144,-8.936,9.096,8.860,-7.496,8.957
-1.563,1.673,-3.286,-0.667,1.499,-3.266,-1.627,1.973,-2.310
11.594,11.792,-8.347,12.013,10.963,-8.529,12.186,12.327,-8.876
0.832,7.938,13.499,1.076,7.406,12.747,1.440,8.660,13.430
1.144,3.988,-6.586,1.690,3.688,-5.804,1.390,4.930,-6.628
5.116,7.293,-0.354,5.019,7.860,0.448,4.899,7.896,-1.054
11.692,-3.341,-8.139,12.274,-3.239,-8.926,10.953,-3.761,-8.497
6.056,-2.024,-8.736,6.861,-2.082,-9.269,5.402,-2.200,-9.481
4.123,-3.059,-7.012,4.555,-2.674,-7.774,3.676,-3.843,-7.314
-0.450,-4.179,10.452,-1.129,-3.964,11.179,-0.656,-3.418,9.903
4.994,-5.946,6.400,4.662,-6.848,6.087,4.602,-5.301,5.737
7.669,9.236,2.173,7.415,9.834,2.864,7.731,9.764,1.380
0.699,5.530,0.091,1.385,5.315,0.714,-0.005,6.008,0.519
1.400,-0.169,12.227,1.201,-0.942,11.676,1.651,0.481,11.563
6.048,2.264,-0.963,7.031,2.397,-1.155,5.923,2.857,-0.200
7.557,5.147,-5.232,7.959,5.880,-5.689,8.392,4.616,-5.009
7.880,1.799,10.829,8.088,1.661,11.768,7.600,2.708,10.783
7.350,6.050,11.455,8.276,6.241,11.870,6.799,6.742,11.807
-7.146,0.085,-12.010,-7.310,-0.836,-12.121,-8.047,0.429,-12.267
12.134,5.956,-9.298,12.726,5.543,-9.981,11.952,5.171,-8.735
-4.869,2.778,-1.572,-4.280,2.252,-1.135,-5.734,2.338,-1.365
9.806,9.345,-3.524,10.778,9.332,-3.399,9.522,8.493,-3.098
8.440,-1.701,-9.969,9.202,-2.134,-10.370,8.346,-0.822,-10.440
4.537,-0.033,10.549,4.617,0.771,9.982,3.583,0.008,10.865
5.229,7.319,-11.851,5.450,6.415,-11.597,4.290,7.286,-11.919
-0.628,9.795,7.693,-0.452,10.700,7.427,0.056,9.644,8.403
6.273,-4.733,-12.527,5.854,-4.876,-13.413,6.652,-3.853,-12.662
